graph_id,split,kappa,N_kappa,N_kappa_plus_1,N_kappa_plus_2,cutset_subset_tests,cutset_count_status
g_n12_m24_k2_000,validation,2,1,1,1,12926,exact
g_n12_m24_k2_001,train,2,2,0,3,12926,exact
g_n12_m24_k2_002,test,2,1,1,2,12926,exact
g_n12_m24_k2_003,train,2,2,1,1,12926,exact
g_n12_m24_k2_004,train,2,1,0,3,12926,exact
g_n12_m24_k3_000,train,3,2,1,8,55154,exact
g_n12_m24_k3_001,train,3,1,1,3,55154,exact
g_n12_m24_k3_002,train,3,1,0,7,55154,exact
g_n12_m24_k3_003,validation,3,2,1,4,55154,exact
g_n12_m24_k3_004,test,3,1,1,3,55154,exact
g_n14_m28_k2_000,train,2,1,0,7,24129,exact
g_n14_m28_k2_001,train,2,1,2,2,24129,exact
g_n14_m28_k2_002,train,2,1,1,2,24129,exact
g_n14_m28_k2_003,test,2,1,0,1,24129,exact
g_n14_m28_k2_004,validation,2,1,0,4,24129,exact
g_n14_m28_k3_000,train,3,1,1,7,122031,exact
g_n14_m28_k3_001,train,3,1,2,6,122031,exact
g_n14_m28_k3_002,test,3,1,2,9,122031,exact
g_n14_m28_k3_003,train,3,2,0,8,122031,exact
g_n14_m28_k3_004,validation,3,3,0,6,122031,exact
