row_id,graph_id,q_id,split,sample_index,sample_seed,failed_edge_indices,disconnected
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,0,160363935,[0],0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,1,161363938,"[12, 14, 18]",0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,2,162363941,"[13, 23]",0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,3,163363944,"[0, 13]",0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,4,164363947,"[8, 11, 19]",0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,5,165363950,"[2, 10, 16, 17]",0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,6,166363953,"[0, 1, 4, 5, 10]",0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,7,167363956,[5],0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,8,168363959,[23],0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,9,169363962,[],0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,10,170363965,"[0, 15, 19, 20, 22]",0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,11,171363968,"[4, 9, 16]",0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,12,172363971,"[7, 8, 12, 13, 23]",1
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,13,173363974,"[3, 5, 10, 12, 15, 18, 19]",0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,14,174363977,[],0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,15,175363980,"[2, 3, 5, 9, 17]",0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,16,176363983,"[5, 8]",0
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,17,177363986,"[6, 16, 21]",0
