graph_id,split,n,m,kappa,edge_factor,source,target,seed,edges
g_n12_m24_k2_000,validation,12,24,2,2.0,0,6,2874151051,"[[0, 3], [0, 4], [0, 5], [1, 2], [1, 4], [1, 5], [2, 3], [2, 5], [2, 10], [3, 4], [3, 5], [4, 5], [4, 6], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [7, 9], [7, 10], [7, 11], [8, 9], [8, 10], [10, 11]]"
g_n12_m24_k2_001,train,12,24,2,2.0,0,6,2874151052,"[[0, 2], [0, 3], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 4], [3, 5], [3, 9], [4, 5], [5, 10], [6, 8], [6, 9], [6, 10], [6, 11], [7, 8], [7, 10], [7, 11], [8, 10], [8, 11], [9, 10], [9, 11]]"
g_n12_m24_k2_002,test,12,24,2,2.0,0,6,2874151053,"[[0, 1], [0, 2], [0, 3], [0, 5], [1, 2], [1, 3], [1, 5], [1, 6], [2, 3], [3, 4], [3, 5], [4, 5], [4, 8], [6, 8], [6, 10], [6, 11], [7, 9], [7, 11], [8, 9], [8, 10], [8, 11], [9, 10], [9, 11], [10, 11]]"
g_n12_m24_k2_003,train,12,24,2,2.0,0,6,2874151054,"[[0, 3], [0, 5], [1, 2], [1, 3], [1, 4], [1, 5], [1, 11], [2, 3], [2, 5], [3, 4], [3, 5], [3, 10], [4, 5], [6, 7], [6, 10], [6, 11], [7, 8], [7, 9], [7, 10], [8, 9], [8, 10], [8, 11], [9, 10], [10, 11]]"
g_n12_m24_k2_004,train,12,24,2,2.0,0,6,2874151055,"[[0, 2], [0, 3], [0, 4], [0, 7], [1, 2], [1, 3], [1, 5], [2, 3], [2, 4], [2, 5], [2, 10], [3, 4], [3, 5], [6, 7], [6, 9], [6, 10], [6, 11], [7, 8], [7, 9], [7, 11], [8, 10], [8, 11], [9, 11], [10, 11]]"
g_n12_m24_k3_000,train,12,24,3,2.0,0,6,2875151054,"[[0, 2], [0, 3], [0, 4], [1, 2], [1, 3], [1, 4], [1, 5], [2, 3], [2, 8], [3, 5], [4, 5], [4, 6], [5, 10], [6, 8], [6, 9], [6, 10], [7, 8], [7, 9], [7, 11], [8, 10], [8, 11], [9, 10], [9, 11], [10, 11]]"
g_n12_m24_k3_001,train,12,24,3,2.0,0,6,2875151055,"[[0, 2], [0, 3], [0, 4], [0, 10], [1, 2], [1, 3], [1, 5], [2, 4], [2, 5], [2, 7], [3, 4], [3, 5], [4, 6], [6, 8], [6, 9], [6, 10], [6, 11], [7, 9], [7, 10], [7, 11], [8, 9], [8, 11], [9, 10], [10, 11]]"
g_n12_m24_k3_002,train,12,24,3,2.0,0,6,2875151056,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 11], [1, 2], [1, 5], [2, 4], [2, 5], [2, 10], [3, 4], [3, 5], [3, 8], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [7, 8], [7, 9], [7, 10], [8, 11], [9, 10], [9, 11]]"
g_n12_m24_k3_003,validation,12,24,3,2.0,0,6,2875151057,"[[0, 2], [0, 3], [0, 4], [0, 5], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 11], [3, 5], [3, 9], [5, 7], [6, 7], [6, 9], [6, 11], [7, 9], [7, 10], [7, 11], [8, 9], [8, 10], [8, 11], [9, 11], [10, 11]]"
g_n12_m24_k3_004,test,12,24,3,2.0,0,6,2875151058,"[[0, 1], [0, 4], [0, 5], [0, 6], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 4], [4, 11], [5, 10], [6, 8], [6, 9], [6, 10], [6, 11], [7, 8], [7, 10], [7, 11], [8, 9], [8, 11], [9, 11], [10, 11]]"
