row_id,graph_id,q_id,split,q,K,z,disconnect_fraction
g_n12_m24_k2_000_q00,g_n12_m24_k2_000,q00,validation,0.12,32,1,0.03125
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,0.24,32,6,0.1875
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,0.36,32,8,0.25
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,0.12,32,0,0.0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,0.24,32,3,0.09375
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,0.36,32,11,0.34375
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,0.12,32,0,0.0
g_n12_m24_k2_002_q01,g_n12_m24_k2_002,q01,test,0.24,32,2,0.0625
g_n12_m24_k2_002_q02,g_n12_m24_k2_002,q02,test,0.36,32,4,0.125
g_n12_m24_k2_003_q00,g_n12_m24_k2_003,q00,train,0.12,32,4,0.125
g_n12_m24_k2_003_q01,g_n12_m24_k2_003,q01,train,0.24,32,3,0.09375
g_n12_m24_k2_003_q02,g_n12_m24_k2_003,q02,train,0.36,32,11,0.34375
g_n12_m24_k2_004_q00,g_n12_m24_k2_004,q00,train,0.12,32,0,0.0
g_n12_m24_k2_004_q01,g_n12_m24_k2_004,q01,train,0.24,32,3,0.09375
g_n12_m24_k2_004_q02,g_n12_m24_k2_004,q02,train,0.36,32,4,0.125
g_n12_m24_k3_000_q00,g_n12_m24_k3_000,q00,train,0.12,32,0,0.0
g_n12_m24_k3_000_q01,g_n12_m24_k3_000,q01,train,0.24,32,0,0.0
g_n12_m24_k3_000_q02,g_n12_m24_k3_000,q02,train,0.36,32,4,0.125
g_n12_m24_k3_001_q00,g_n12_m24_k3_001,q00,train,0.12,32,0,0.0
g_n12_m24_k3_001_q01,g_n12_m24_k3_001,q01,train,0.24,32,0,0.0
g_n12_m24_k3_001_q02,g_n12_m24_k3_001,q02,train,0.36,32,4,0.125
g_n12_m24_k3_002_q00,g_n12_m24_k3_002,q00,train,0.12,32,0,0.0
g_n12_m24_k3_002_q01,g_n12_m24_k3_002,q01,train,0.24,32,2,0.0625
g_n12_m24_k3_002_q02,g_n12_m24_k3_002,q02,train,0.36,32,0,0.0
g_n12_m24_k3_003_q00,g_n12_m24_k3_003,q00,validation,0.12,32,0,0.0
g_n12_m24_k3_003_q01,g_n12_m24_k3_003,q01,validation,0.24,32,0,0.0
g_n12_m24_k3_003_q02,g_n12_m24_k3_003,q02,validation,0.36,32,6,0.1875
g_n12_m24_k3_004_q00,g_n12_m24_k3_004,q00,test,0.12,32,2,0.0625
g_n12_m24_k3_004_q01,g_n12_m24_k3_004,q01,test,0.24,32,0,0.0
g_n12_m24_k3_004_q02,g_n12_m24_k3_004,q02,test,0.36,32,4,0.125
g_n14_m28_k2_000_q00,g_n14_m28_k2_000,q00,train,0.12,32,2,0.0625
g_n14_m28_k2_000_q01,g_n14_m28_k2_000,q01,train,0.24,32,2,0.0625
g_n14_m28_k2_000_q02,g_n14_m28_k2_000,q02,train,0.36,32,6,0.1875
g_n14_m28_k2_001_q00,g_n14_m28_k2_001,q00,train,0.12,32,1,0.03125
g_n14_m28_k2_001_q01,g_n14_m28_k2_001,q01,train,0.24,32,6,0.1875
g_n14_m28_k2_001_q02,g_n14_m28_k2_001,q02,train,0.36,32,7,0.21875
g_n14_m28_k2_002_q00,g_n14_m28_k2_002,q00,train,0.12,32,0,0.0
g_n14_m28_k2_002_q01,g_n14_m28_k2_002,q01,train,0.24,32,2,0.0625
g_n14_m28_k2_002_q02,g_n14_m28_k2_002,q02,train,0.36,32,6,0.1875
g_n14_m28_k2_003_q00,g_n14_m28_k2_003,q00,test,0.12,32,1,0.03125
g_n14_m28_k2_003_q01,g_n14_m28_k2_003,q01,test,0.24,32,1,0.03125
g_n14_m28_k2_003_q02,g_n14_m28_k2_003,q02,test,0.36,32,6,0.1875
g_n14_m28_k2_004_q00,g_n14_m28_k2_004,q00,validation,0.12,32,1,0.03125
g_n14_m28_k2_004_q01,g_n14_m28_k2_004,q01,validation,0.24,32,0,0.0
g_n14_m28_k2_004_q02,g_n14_m28_k2_004,q02,validation,0.36,32,6,0.1875
g_n14_m28_k3_000_q00,g_n14_m28_k3_000,q00,train,0.12,32,1,0.03125
g_n14_m28_k3_000_q01,g_n14_m28_k3_000,q01,train,0.24,32,1,0.03125
g_n14_m28_k3_000_q02,g_n14_m28_k3_000,q02,train,0.36,32,4,0.125
g_n14_m28_k3_001_q00,g_n14_m28_k3_001,q00,train,0.12,32,0,0.0
g_n14_m28_k3_001_q01,g_n14_m28_k3_001,q01,train,0.24,32,0,0.0
g_n14_m28_k3_001_q02,g_n14_m28_k3_001,q02,train,0.36,32,4,0.125
g_n14_m28_k3_002_q00,g_n14_m28_k3_002,q00,test,0.12,32,0,0.0
g_n14_m28_k3_002_q01,g_n14_m28_k3_002,q01,test,0.24,32,0,0.0
g_n14_m28_k3_002_q02,g_n14_m28_k3_002,q02,test,0.36,32,2,0.0625
g_n14_m28_k3_003_q00,g_n14_m28_k3_003,q00,train,0.12,32,0,0.0
g_n14_m28_k3_003_q01,g_n14_m28_k3_003,q01,train,0.24,32,0,0.0
g_n14_m28_k3_003_q02,g_n14_m28_k3_003,q02,train,0.36,32,4,0.125
g_n14_m28_k3_004_q00,g_n14_m28_k3_004,q00,validation,0.12,32,0,0.0
g_n14_m28_k3_004_q01,g_n14_m28_k3_004,q01,validation,0.24,32,2,0.0625
g_n14_m28_k3_004_q02,g_n14_m28_k3_004,q02,validation,0.36,32,6,0.1875
