key_name,split,matched_group_count,matched_state_count,mean_low_minus_high,median_low_minus_high,positive_group_count,positive_group_rate,bootstrap_positive_rate
coarse_diam,all,81,952,0.05637217078189301,0.0390625,71,0.8765432098765432,1.0
coarse_diam,test,18,91,0.06032986111111111,0.0390625,14,0.7777777777777778,1.0
coarse_diam,train,59,524,0.05128442796610169,0.03515625,53,0.8983050847457628,1.0
coarse_diam,validation,22,107,0.04190340909090909,0.05078125,18,0.8181818181818182,0.9995
path_b05,all,80,752,0.052840866815476194,0.03125,69,0.8625,1.0
path_b05,test,12,54,0.06315104166666667,0.046875,10,0.8333333333333334,1.0
path_b05,train,53,380,0.04851120283018867,0.03125,40,0.7547169811320755,1.0
path_b05,validation,11,51,0.03125,0.046875,8,0.7272727272727273,0.978
strict,all,82,835,0.04899190621370499,0.03125,70,0.8536585365853658,1.0
strict,test,13,61,0.060697115384615384,0.0390625,10,0.7692307692307693,1.0
strict,train,54,428,0.04288676697530864,0.03125,42,0.7777777777777778,1.0
strict,validation,15,69,0.040625,0.046875,12,0.8,0.998
