graph_id,split,n,e0,kappa0,tau_stratum,tau0,log_tau0,seed,edges
g_n24_e48_k2_low_00,train,24,48,2,low,11011646890,23.12221935778457,864306895,"[[0, 3], [0, 4], [0, 5], [1, 4], [1, 7], [1, 8], [1, 11], [2, 4], [2, 5], [2, 7], [2, 11], [3, 8], [4, 5], [4, 6], [4, 8], [4, 11], [5, 6], [5, 11], [5, 14], [6, 10], [6, 11], [8, 11], [9, 10], [9, 11], [9, 20], [12, 14], [12, 21], [13, 14], [13, 16], [13, 18], [13, 20], [13, 21], [13, 22], [13, 23], [14, 16], [14, 19], [14, 21], [15, 16], [15, 18], [15, 20], [16, 18], [16, 21], [17, 19], [17, 20], [18, 21], [18, 22], [20, 23], [21, 22]]"
g_n24_e48_k2_low_01,train,24,48,2,low,14142324252,23.372437858164297,864306732,"[[0, 3], [0, 5], [0, 8], [0, 9], [0, 13], [1, 2], [1, 4], [2, 4], [2, 6], [2, 8], [3, 5], [3, 8], [3, 9], [3, 11], [4, 7], [4, 8], [4, 11], [5, 8], [5, 10], [5, 11], [6, 10], [7, 8], [7, 11], [7, 20], [8, 11], [12, 17], [12, 18], [12, 19], [12, 23], [13, 14], [13, 18], [13, 20], [14, 15], [14, 17], [14, 18], [14, 19], [14, 20], [15, 22], [15, 23], [16, 17], [16, 23], [17, 20], [17, 21], [17, 23], [18, 19], [18, 20], [18, 22], [19, 21]]"
g_n24_e48_k2_low_02,train,24,48,2,low,15772458592,23.4815311288769,864306693,"[[0, 2], [0, 10], [0, 12], [1, 3], [1, 4], [1, 6], [2, 3], [2, 4], [2, 6], [2, 10], [2, 11], [3, 4], [3, 8], [4, 8], [4, 10], [4, 11], [5, 8], [5, 9], [6, 8], [6, 9], [6, 10], [7, 9], [7, 10], [9, 10], [10, 14], [12, 14], [12, 16], [13, 15], [13, 21], [13, 22], [14, 17], [14, 18], [14, 19], [14, 20], [15, 16], [15, 17], [16, 17], [16, 18], [16, 19], [16, 20], [17, 18], [17, 19], [17, 20], [17, 22], [18, 23], [19, 20], [20, 23], [21, 23]]"
g_n24_e48_k2_low_03,validation,24,48,2,low,17529398932,23.587145247328216,864306863,"[[0, 2], [0, 4], [1, 2], [1, 3], [1, 6], [1, 10], [1, 11], [2, 3], [2, 4], [2, 9], [2, 10], [2, 16], [3, 4], [3, 9], [3, 17], [4, 5], [4, 8], [4, 9], [4, 10], [5, 8], [6, 10], [7, 8], [7, 11], [8, 10], [9, 10], [12, 13], [12, 16], [12, 17], [12, 20], [12, 21], [12, 23], [13, 14], [13, 19], [14, 15], [14, 18], [14, 19], [14, 22], [15, 20], [15, 23], [16, 23], [17, 19], [17, 20], [17, 21], [18, 19], [18, 20], [18, 21], [19, 21], [20, 22]]"
g_n24_e48_k2_low_04,train,24,48,2,low,18092843756,23.618782324441153,864306877,"[[0, 2], [0, 4], [1, 5], [1, 6], [1, 8], [1, 9], [1, 10], [1, 11], [2, 9], [2, 10], [3, 4], [3, 8], [3, 11], [4, 7], [4, 8], [4, 9], [5, 11], [6, 7], [6, 9], [6, 13], [7, 8], [7, 10], [8, 10], [9, 11], [9, 21], [12, 15], [12, 18], [12, 20], [13, 14], [13, 15], [13, 18], [13, 19], [13, 20], [13, 21], [14, 17], [14, 18], [14, 20], [14, 23], [15, 17], [15, 18], [15, 21], [16, 18], [16, 20], [17, 18], [18, 19], [18, 22], [18, 23], [20, 22]]"
g_n24_e48_k2_low_05,train,24,48,2,low,18390013761,23.635073623849472,864306917,"[[0, 1], [0, 7], [1, 2], [1, 3], [1, 4], [1, 10], [1, 19], [2, 9], [3, 4], [3, 8], [3, 10], [3, 17], [4, 5], [4, 6], [4, 7], [4, 9], [5, 6], [6, 7], [6, 8], [6, 11], [7, 10], [7, 11], [8, 10], [8, 11], [10, 11], [12, 14], [12, 20], [13, 15], [13, 17], [13, 20], [14, 15], [14, 23], [15, 19], [15, 20], [15, 21], [15, 23], [16, 17], [16, 20], [16, 21], [16, 23], [17, 18], [17, 19], [17, 22], [17, 23], [18, 22], [19, 23], [20, 22], [22, 23]]"
g_n24_e48_k2_low_06,test,24,48,2,low,19037114855,23.6696563241029,864306752,"[[0, 1], [0, 3], [0, 4], [0, 5], [0, 6], [0, 9], [1, 2], [1, 3], [1, 4], [1, 8], [1, 9], [1, 18], [2, 4], [2, 16], [3, 6], [3, 7], [3, 9], [4, 6], [5, 11], [6, 7], [6, 8], [6, 9], [7, 10], [8, 10], [8, 11], [12, 16], [12, 18], [12, 19], [12, 20], [12, 21], [12, 23], [13, 14], [13, 18], [13, 22], [14, 17], [14, 18], [14, 20], [14, 23], [15, 18], [15, 20], [16, 21], [16, 22], [17, 20], [19, 21], [19, 23], [20, 21], [20, 23], [21, 22]]"
g_n24_e48_k2_low_07,train,24,48,2,low,19504097200,23.693890393266017,864306710,"[[0, 1], [0, 11], [1, 2], [1, 4], [1, 9], [1, 11], [2, 7], [2, 10], [3, 4], [3, 7], [3, 10], [3, 11], [3, 18], [4, 11], [5, 6], [5, 8], [5, 10], [6, 10], [7, 8], [7, 10], [7, 11], [8, 9], [8, 10], [8, 22], [9, 10], [12, 17], [12, 23], [13, 14], [13, 22], [14, 22], [14, 23], [15, 19], [15, 20], [16, 17], [16, 19], [16, 20], [17, 18], [17, 19], [17, 20], [17, 21], [17, 22], [18, 21], [18, 23], [19, 21], [20, 21], [20, 23], [21, 22], [21, 23]]"
g_n24_e48_k2_low_08,validation,24,48,2,low,19610756702,23.699344063967555,864306684,"[[0, 7], [0, 8], [0, 9], [1, 6], [1, 7], [1, 8], [2, 3], [2, 6], [2, 8], [2, 10], [3, 6], [3, 8], [3, 9], [3, 16], [4, 9], [4, 11], [5, 6], [5, 7], [5, 8], [5, 11], [6, 8], [6, 9], [6, 14], [8, 10], [9, 10], [12, 14], [12, 22], [12, 23], [13, 14], [13, 17], [13, 18], [13, 19], [13, 20], [14, 19], [14, 23], [15, 16], [15, 19], [15, 20], [15, 23], [16, 17], [16, 18], [16, 19], [16, 23], [17, 20], [19, 23], [20, 21], [20, 23], [21, 22]]"
g_n24_e48_k2_low_09,validation,24,48,2,low,19635915119,23.700626130409304,864306903,"[[0, 1], [0, 3], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [1, 3], [1, 9], [1, 11], [2, 3], [2, 10], [3, 7], [3, 11], [4, 5], [4, 10], [5, 10], [5, 11], [6, 7], [6, 8], [6, 14], [7, 12], [8, 10], [8, 11], [12, 14], [12, 15], [12, 19], [12, 22], [12, 23], [13, 15], [13, 16], [13, 18], [13, 20], [13, 21], [13, 23], [14, 17], [14, 19], [14, 23], [16, 18], [16, 19], [16, 23], [17, 22], [17, 23], [18, 19], [18, 20], [19, 22], [21, 22]]"
