graph_id,state_id,split,future_index,future_seed,max_h,first_disconnect_step
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,0,1265205403,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,1,1266205406,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,2,1267205409,8,6
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,3,1268205412,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,4,1269205415,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,5,1270205418,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,6,1271205421,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,7,1272205424,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,8,1273205427,8,8
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,9,1274205430,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,10,1275205433,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,11,1276205436,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,12,1277205439,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,13,1278205442,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,14,1279205445,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,15,1280205448,8,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,16,1281205451,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,17,1282205454,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,18,1283205457,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,19,1284205460,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,20,1285205463,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,21,1286205466,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,22,1287205469,8,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,23,1288205472,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,24,1289205475,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,25,1290205478,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,26,1291205481,8,6
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,27,1292205484,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,28,1293205487,8,6
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,29,1294205490,8,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,30,1295205493,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,31,1296205496,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,32,1297205499,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,33,1298205502,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,34,1299205505,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,35,1300205508,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,36,1301205511,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,37,1302205514,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,38,1303205517,8,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,39,1304205520,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,40,1305205523,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,41,1306205526,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,42,1307205529,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,43,1308205532,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,44,1309205535,8,4
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,45,1310205538,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,46,1311205541,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,47,1312205544,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,48,1313205547,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,49,1314205550,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,50,1315205553,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,51,1316205556,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,52,1317205559,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,53,1318205562,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,54,1319205565,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,55,1320205568,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,56,1321205571,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,57,1322205574,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,58,1323205577,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,59,1324205580,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,60,1325205583,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,61,1326205586,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,62,1327205589,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,63,1328205592,8,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,0,3396032822,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,1,3397032825,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,2,3398032828,7,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,3,3399032831,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,4,3400032834,7,
