graph_id,split,n,e0,kappa0,tau_stratum,tau0,log_tau0,seed,edges
g_n24_e48_k2_low_00,train,24,48,2,low,13018811370,23.289661176932682,953054315,"[[0, 2], [0, 9], [1, 8], [1, 10], [2, 5], [2, 11], [2, 13], [3, 6], [3, 8], [3, 11], [4, 7], [4, 9], [4, 11], [4, 17], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [7, 8], [7, 10], [8, 9], [8, 10], [8, 11], [12, 13], [12, 15], [12, 18], [12, 19], [12, 20], [13, 16], [13, 20], [13, 22], [14, 18], [14, 23], [15, 16], [15, 17], [15, 18], [15, 19], [15, 22], [16, 18], [16, 19], [16, 20], [17, 19], [17, 21], [18, 19], [18, 23], [19, 21]]"
g_n24_e48_k2_low_01,test,24,48,2,low,15337796704,23.453585991800402,953054393,"[[0, 6], [0, 10], [1, 3], [1, 6], [1, 7], [1, 10], [2, 4], [2, 5], [2, 7], [2, 10], [2, 11], [3, 5], [3, 8], [3, 9], [3, 11], [4, 6], [4, 7], [4, 11], [5, 6], [5, 10], [6, 7], [6, 22], [7, 9], [8, 9], [10, 20], [12, 13], [12, 14], [12, 16], [12, 21], [12, 22], [13, 14], [13, 15], [13, 16], [13, 21], [13, 22], [14, 22], [14, 23], [15, 22], [16, 17], [16, 19], [16, 20], [16, 21], [16, 22], [17, 21], [18, 19], [18, 20], [20, 21], [22, 23]]"
g_n24_e48_k2_low_02,train,24,48,2,low,15957252864,23.49317928783685,953054301,"[[0, 6], [0, 11], [1, 3], [1, 4], [1, 9], [1, 10], [2, 5], [2, 9], [2, 10], [2, 11], [3, 7], [3, 9], [3, 11], [4, 11], [5, 6], [5, 7], [7, 8], [7, 9], [7, 11], [7, 21], [8, 9], [9, 10], [9, 11], [10, 11], [10, 18], [12, 14], [12, 23], [13, 18], [13, 21], [13, 22], [14, 15], [14, 16], [14, 17], [14, 18], [15, 22], [16, 23], [17, 18], [17, 20], [18, 21], [18, 23], [19, 21], [19, 22], [19, 23], [20, 21], [20, 22], [20, 23], [21, 22], [22, 23]]"
g_n24_e48_k2_low_03,validation,24,48,2,low,15961351104,23.493436081024086,953054319,"[[0, 1], [0, 2], [0, 4], [0, 8], [0, 9], [0, 11], [1, 2], [1, 9], [1, 10], [1, 11], [1, 20], [2, 4], [2, 6], [2, 7], [3, 10], [3, 11], [4, 6], [4, 11], [5, 6], [5, 7], [6, 7], [6, 10], [8, 11], [9, 10], [10, 13], [12, 16], [12, 18], [12, 19], [12, 20], [12, 21], [13, 15], [13, 16], [13, 23], [14, 16], [14, 19], [14, 20], [15, 16], [15, 21], [15, 22], [16, 17], [16, 20], [16, 21], [16, 22], [16, 23], [17, 19], [17, 21], [18, 21], [19, 20]]"
g_n24_e48_k2_low_04,train,24,48,2,low,16712035376,23.539394978000733,953054360,"[[0, 2], [0, 6], [0, 8], [0, 10], [0, 11], [0, 18], [1, 2], [1, 5], [1, 7], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 10], [3, 4], [3, 5], [3, 7], [5, 7], [5, 9], [7, 9], [7, 11], [8, 10], [9, 11], [10, 22], [12, 14], [12, 15], [12, 19], [12, 23], [13, 14], [13, 21], [14, 15], [14, 16], [14, 17], [14, 18], [14, 20], [14, 22], [14, 23], [15, 16], [15, 20], [16, 17], [16, 19], [16, 21], [17, 18], [17, 23], [18, 19], [18, 23], [21, 22]]"
g_n24_e48_k2_low_05,train,24,48,2,low,17299902368,23.57396669496601,953054345,"[[0, 2], [0, 9], [0, 11], [1, 3], [1, 4], [2, 3], [2, 5], [2, 6], [2, 9], [2, 11], [3, 5], [3, 6], [3, 10], [3, 20], [4, 5], [4, 6], [4, 7], [4, 9], [5, 8], [5, 9], [5, 11], [7, 8], [7, 10], [9, 11], [10, 19], [12, 16], [12, 19], [12, 22], [13, 15], [13, 16], [13, 19], [13, 21], [13, 22], [14, 22], [14, 23], [15, 17], [15, 22], [16, 17], [16, 19], [17, 19], [17, 22], [17, 23], [18, 19], [18, 22], [19, 20], [19, 21], [19, 23], [20, 23]]"
g_n24_e48_k2_low_06,train,24,48,2,low,17616241359,23.592087117956854,953054309,"[[0, 2], [0, 8], [0, 9], [1, 8], [1, 10], [1, 11], [2, 5], [2, 8], [2, 10], [2, 11], [3, 5], [3, 11], [3, 22], [4, 6], [4, 11], [5, 7], [5, 11], [6, 9], [6, 11], [7, 8], [7, 10], [7, 18], [8, 10], [8, 11], [10, 11], [12, 14], [12, 18], [13, 14], [13, 19], [13, 21], [13, 22], [14, 15], [14, 16], [14, 19], [14, 22], [14, 23], [15, 17], [15, 21], [15, 23], [16, 20], [16, 22], [17, 18], [17, 22], [17, 23], [18, 19], [18, 22], [19, 20], [22, 23]]"
g_n24_e48_k2_low_07,test,24,48,2,low,18048644005,23.61633639452659,953054380,"[[0, 1], [0, 3], [0, 4], [0, 5], [0, 8], [1, 5], [1, 6], [1, 7], [1, 8], [2, 8], [2, 11], [3, 5], [4, 5], [4, 10], [5, 6], [5, 7], [5, 10], [5, 17], [6, 9], [6, 11], [6, 22], [7, 10], [8, 9], [8, 10], [9, 10], [12, 20], [12, 22], [13, 15], [13, 20], [14, 15], [14, 18], [14, 21], [15, 16], [15, 18], [15, 20], [15, 23], [16, 17], [16, 18], [16, 19], [16, 21], [17, 23], [18, 19], [18, 20], [18, 21], [18, 22], [20, 21], [21, 23], [22, 23]]"
g_n24_e48_k2_low_08,validation,24,48,2,low,18157411441,23.62234465816436,953054403,"[[0, 1], [0, 3], [0, 4], [0, 5], [0, 6], [0, 8], [0, 17], [1, 7], [1, 10], [2, 4], [2, 6], [2, 10], [2, 11], [3, 5], [4, 5], [4, 6], [4, 10], [5, 8], [5, 9], [5, 10], [6, 11], [7, 8], [7, 9], [8, 9], [8, 19], [12, 16], [12, 22], [13, 16], [13, 17], [13, 20], [13, 21], [14, 19], [14, 20], [15, 20], [15, 21], [16, 22], [17, 18], [17, 19], [17, 20], [17, 21], [17, 23], [18, 21], [18, 22], [19, 20], [19, 21], [20, 23], [21, 22], [22, 23]]"
g_n24_e48_k2_low_09,train,24,48,2,low,18509842272,23.641568442263743,953054372,"[[0, 3], [0, 5], [1, 3], [1, 4], [1, 5], [1, 7], [1, 8], [1, 9], [2, 3], [2, 10], [2, 20], [3, 4], [3, 5], [3, 6], [3, 7], [3, 11], [3, 14], [4, 7], [4, 10], [5, 7], [6, 9], [7, 9], [8, 10], [8, 11], [9, 11], [12, 14], [12, 16], [12, 17], [12, 19], [12, 21], [12, 23], [13, 14], [13, 20], [13, 21], [14, 15], [14, 17], [14, 19], [14, 20], [14, 22], [15, 20], [15, 21], [16, 17], [16, 18], [17, 18], [19, 23], [20, 22], [20, 23], [22, 23]]"
