graph_id,state_id,split,horizon_fraction,h_steps,K,z,collapse_fraction
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,0.05,3,64,0,0.0
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,0.1,5,64,1,0.015625
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,0.15,8,64,10,0.15625
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,0.05,3,64,4,0.0625
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,0.1,5,64,6,0.09375
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,0.15,7,64,17,0.265625
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,0.05,3,64,1,0.015625
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,0.1,5,64,9,0.140625
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,0.15,8,64,16,0.25
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,0.05,3,64,5,0.078125
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,0.1,5,64,12,0.1875
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,0.15,7,64,18,0.28125
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,0.05,3,64,16,0.25
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,0.1,5,64,26,0.40625
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,0.15,7,64,39,0.609375
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p0,train,0.05,3,64,1,0.015625
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p0,train,0.1,5,64,2,0.03125
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p0,train,0.15,8,64,7,0.109375
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p3,train,0.05,3,64,8,0.125
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p3,train,0.1,5,64,11,0.171875
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p3,train,0.15,7,64,20,0.3125
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p5,train,0.05,3,64,5,0.078125
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p5,train,0.1,5,64,12,0.1875
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p5,train,0.15,7,64,17,0.265625
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p0,validation,0.05,3,64,0,0.0
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p0,validation,0.1,5,64,4,0.0625
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p0,validation,0.15,8,64,9,0.140625
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p3,validation,0.05,3,64,8,0.125
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p3,validation,0.1,5,64,11,0.171875
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p3,validation,0.15,7,64,18,0.28125
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p5,validation,0.05,3,64,9,0.140625
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p5,validation,0.1,5,64,15,0.234375
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p5,validation,0.15,7,64,21,0.328125
g_n24_e48_k2_low_04,g_n24_e48_k2_low_04_p0,train,0.05,3,64,0,0.0
g_n24_e48_k2_low_04,g_n24_e48_k2_low_04_p0,train,0.1,5,64,2,0.03125
