graph_id,split,n,e0,kappa0,tau_stratum,tau0,log_tau0,seed,edges
g_n24_e48_k2_low_00,train,24,48,2,low,12927665736,23.28263548257405,2284268588,"[[0, 1], [0, 2], [0, 5], [0, 8], [0, 9], [0, 11], [1, 3], [1, 4], [1, 5], [1, 11], [2, 5], [2, 7], [2, 9], [2, 11], [3, 5], [4, 7], [4, 8], [4, 21], [5, 6], [5, 10], [6, 10], [7, 9], [8, 11], [9, 11], [10, 17], [12, 15], [12, 17], [13, 14], [13, 15], [13, 16], [13, 17], [13, 18], [13, 20], [13, 23], [14, 19], [15, 17], [15, 18], [16, 17], [16, 18], [16, 22], [16, 23], [17, 18], [17, 19], [17, 21], [17, 22], [18, 21], [19, 20], [19, 23]]"
g_n24_e48_k2_low_01,test,24,48,2,low,16027837407,23.4975928853589,2284268604,"[[0, 1], [0, 3], [0, 4], [0, 5], [0, 6], [0, 9], [0, 10], [0, 11], [1, 3], [1, 5], [1, 6], [1, 11], [2, 3], [2, 11], [3, 5], [3, 10], [4, 8], [4, 12], [5, 6], [5, 8], [5, 10], [6, 9], [7, 9], [7, 10], [10, 16], [12, 13], [12, 18], [12, 22], [12, 23], [13, 14], [13, 16], [13, 20], [13, 22], [14, 16], [14, 19], [14, 22], [15, 16], [15, 19], [16, 17], [16, 18], [16, 19], [16, 22], [17, 19], [17, 21], [18, 20], [18, 21], [18, 23], [20, 23]]"
g_n24_e48_k2_low_02,validation,24,48,2,low,18420474639,23.63672863503117,2284268607,"[[0, 5], [0, 6], [0, 8], [0, 9], [0, 11], [1, 7], [1, 10], [1, 16], [2, 8], [2, 9], [2, 10], [2, 11], [3, 4], [3, 5], [4, 8], [4, 10], [4, 11], [5, 7], [5, 8], [5, 9], [5, 10], [6, 10], [7, 12], [8, 9], [9, 11], [12, 13], [12, 14], [12, 16], [12, 17], [12, 19], [12, 23], [13, 18], [13, 19], [13, 21], [13, 23], [14, 15], [14, 18], [14, 19], [14, 20], [14, 21], [14, 22], [15, 22], [16, 20], [16, 22], [16, 23], [17, 19], [18, 21], [19, 21]]"
g_n24_e48_k2_low_03,train,24,48,2,low,20784129888,23.75745554627776,2284268559,"[[0, 3], [0, 5], [0, 8], [0, 18], [1, 3], [1, 6], [1, 10], [1, 11], [2, 8], [2, 11], [3, 4], [3, 5], [3, 6], [3, 9], [3, 11], [4, 5], [4, 10], [5, 6], [5, 11], [6, 10], [7, 8], [7, 11], [9, 11], [10, 11], [10, 20], [12, 13], [12, 15], [12, 16], [12, 20], [12, 22], [13, 19], [13, 20], [13, 21], [14, 15], [14, 23], [15, 17], [15, 18], [15, 19], [16, 20], [16, 22], [17, 18], [17, 19], [17, 21], [17, 22], [18, 23], [19, 21], [19, 22], [20, 22]]"
g_n24_e48_k2_low_04,train,24,48,2,low,21086640069,23.771905504805023,2284268586,"[[0, 3], [0, 7], [0, 10], [1, 2], [1, 4], [1, 10], [1, 11], [2, 7], [2, 9], [3, 7], [3, 8], [3, 11], [3, 20], [4, 6], [4, 8], [4, 10], [5, 8], [5, 10], [6, 10], [7, 9], [7, 10], [7, 14], [8, 10], [8, 11], [9, 11], [12, 16], [12, 21], [13, 15], [13, 17], [13, 19], [13, 20], [14, 16], [14, 20], [15, 17], [15, 18], [15, 19], [15, 20], [15, 22], [16, 19], [16, 20], [16, 23], [17, 18], [17, 20], [17, 23], [18, 20], [20, 21], [20, 22], [21, 23]]"
g_n24_e48_k2_mid_05,train,24,48,2,mid,31863261258,24.18471949833656,2284268603,"[[0, 2], [0, 4], [0, 10], [0, 15], [1, 6], [1, 7], [1, 11], [1, 16], [2, 4], [2, 6], [2, 7], [2, 8], [2, 11], [3, 4], [3, 5], [3, 6], [4, 6], [4, 8], [5, 7], [5, 8], [6, 9], [7, 11], [8, 10], [8, 11], [9, 10], [12, 14], [12, 19], [12, 23], [13, 15], [13, 21], [14, 16], [14, 18], [14, 21], [15, 17], [15, 18], [15, 20], [15, 21], [15, 22], [15, 23], [16, 17], [16, 21], [17, 21], [18, 20], [18, 21], [19, 22], [19, 23], [20, 21], [22, 23]]"
g_n24_e48_k2_mid_06,validation,24,48,2,mid,32435464375,24.20251824060467,2284268576,"[[0, 1], [0, 3], [0, 11], [1, 3], [1, 4], [1, 6], [1, 7], [1, 11], [2, 6], [2, 8], [2, 16], [3, 5], [3, 6], [3, 9], [4, 6], [4, 7], [4, 8], [5, 8], [6, 9], [7, 8], [7, 9], [7, 10], [7, 18], [9, 11], [10, 11], [12, 15], [12, 17], [12, 21], [13, 16], [13, 17], [13, 18], [13, 22], [14, 15], [14, 17], [14, 23], [15, 22], [15, 23], [16, 18], [16, 21], [16, 22], [17, 19], [17, 22], [19, 20], [19, 22], [20, 23], [21, 22], [21, 23], [22, 23]]"
g_n24_e48_k2_mid_07,train,24,48,2,mid,32573310408,24.2067590908608,2284268583,"[[0, 1], [0, 2], [0, 9], [1, 8], [1, 10], [2, 5], [2, 8], [2, 11], [3, 4], [3, 6], [3, 8], [3, 9], [3, 17], [4, 8], [4, 9], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [6, 10], [7, 9], [8, 11], [9, 12], [12, 15], [12, 17], [13, 15], [13, 18], [13, 22], [14, 15], [14, 17], [14, 18], [14, 21], [15, 17], [15, 18], [16, 17], [16, 19], [16, 22], [17, 21], [17, 22], [17, 23], [18, 19], [18, 22], [19, 20], [19, 21], [20, 21], [20, 23]]"
g_n24_e48_k2_mid_08,test,24,48,2,mid,33291158290,24.228557681860163,2284268561,"[[0, 2], [0, 3], [1, 2], [1, 3], [1, 4], [1, 5], [1, 9], [1, 12], [2, 6], [2, 11], [3, 6], [3, 7], [3, 11], [4, 8], [4, 11], [5, 7], [5, 11], [6, 8], [6, 10], [7, 8], [7, 11], [7, 20], [8, 9], [8, 10], [8, 11], [12, 15], [12, 16], [12, 20], [12, 21], [12, 23], [13, 15], [13, 16], [13, 17], [13, 19], [13, 23], [14, 17], [14, 20], [14, 22], [15, 16], [15, 17], [16, 21], [16, 23], [17, 18], [17, 20], [18, 23], [19, 20], [19, 21], [22, 23]]"
g_n24_e48_k2_mid_09,train,24,48,2,mid,33331450624,24.229767251391266,2284268543,"[[0, 1], [0, 4], [0, 6], [0, 8], [0, 10], [0, 11], [1, 4], [1, 5], [1, 6], [1, 10], [2, 3], [2, 9], [3, 4], [3, 11], [5, 6], [5, 11], [6, 7], [6, 8], [6, 9], [7, 8], [7, 11], [8, 23], [9, 11], [9, 16], [10, 11], [12, 18], [12, 20], [12, 22], [13, 17], [13, 21], [14, 18], [14, 19], [14, 23], [15, 17], [15, 21], [16, 18], [16, 20], [16, 21], [16, 22], [16, 23], [17, 19], [17, 20], [17, 22], [17, 23], [18, 23], [19, 21], [20, 23], [22, 23]]"
